,product_name,generic_name,brands,categories
12225,160G Thon Huile Olive Princes Foods,,Princes,
12226,Galettes Suédoises Itinéraire des Saveurs,Galettes Suédoises au chocolat et aux flocons d'avoine,Itinéraire des Saveurs,Biscuits sucrés
12227,Sauce roquefort,,Franprix,Sauces au roquefort
12228,Boisson au thé citron et citron vert,,Lipton,"en:non-sugared-beverages, en:beverages"
12229,Parot Eau MINER.GAZ.1L25,,Source des pins,Eaux minérales gazeuses
12230,Eau de fleur d'oranger,,Terre Exotique,"Arômes,Eaux aromatisées"
12231,Taboulé aux légumes,Salade à base de semoule de blé dur et de légumes 28.9% issue de l'agriculture biologique,Carrefour Bio,"Frais,Plats préparés,Plats préparés frais,Taboulés"
12232,8 petites brioches fourrage goût chocolat,,Leader Price,"Snacks sucrés,Viennoiseries,Brioches,Brioches au chocolat"
12233,Purée Pommes Rubarbe sans sucres ajoutés,Compote de fruits,Biocoop,"Compotes de fruits,Compotes pommes rhubarbe"
12234,Compote de pommes allégée en sucres,Compote de pommes allégée en sucres (30 % de sucres en moins qu'une compote normale),"Auchan,Pouce,Auchan Production,Groupe Auchan","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Aliments à base de fruits et de légumes,Conserves,Desserts,Fruits et produits dérivés,Compotes,Compotes de pomme,Compotes allégées"
12235,Chouchou,,Alesto,
12236,Pizza Flavour,Snack salé au goût pizza,Pringles,"Snacks salés,Apéritif,Chips et frites,Chips,Tuiles salées"
12237,Chocolat Noir Noix de Coco,chocolat noir avec 40% de fourrage à la noix de coco,U,"Snacks sucrés,Chocolats,Chocolats noirs"
12238,Cookies pépites de chocolat et quinoa pur beurre,,"U,U bio","Cookies,Cookies au chocolat"
12239,Soupe à la Marocaine,,Soupe du Mont,Soupes de légumes
12240,Pizza crousty fromage poulet,,Carrefour,
12241,1000 mg L.Carnitine,,Weider,en:beverages
12242,Moussaka,,Thiriet,
12243,Riz basmati 3 sachets,,,Riz basmati
12244,Meule belmontoise,,Etoile D'or,
12245,Sirop Saveur pina Colada,,FRUISS,Sirops aromatisés
12246,"Chewing gum sans sucre menthe verte FREEDENT WHITE tab, 2x14",,Freedent,
12247,Gratin De Choux Fleurs,,Fleury Michon,
12248,Orangina P!k,Confiserie gélifiée acidifiée,Haribo,"en:sugary-snacks, en:confectioneries, en:candies, en:gelified-candies"
12249,Pain aux céréales,,Max Poilâne,
12250,Danette,Crème dessert au chocolat,"Danette,Danone","Desserts,Desserts au chocolat,Crèmes dessert,Crèmes dessert chocolat"
12251,Pain De Mie Nature,,En cuisine,Pains de mie
12252,Les savoureuses GIGLI,Pâtes de semoule de blé dur de qualité supérieure,Fiorini,Pâtes de semoule de blé dur
12253,Sauce Aigre douce,,Suzi wan,Sauces aigre-douces
12254,Original Pastilles Menthol - Eucalyptus avec édulcorant,,Fisherman's Friend,Bonbons
12255,Heineken,,Heineken,"en:alcoholic-beverages, en:beers, en:beverages"
12256,Bloc de foie gras de Canard,,Leader Price,"Bloc de foie gras,Foies gras de canard"
12257,Tripes mode de Caen à l'ancienne,,Tripes Paillard,"Tripes,Tripes à la mode de Caen"
12258,Concentré de tomates,,Vesu,Concentrés de tomates
12259,Vinaigre Balsamique de Modène (6% acidité),Vinaigre balsamique de Modène vieilli. 6% d'acidité. ,Terre d'Italia,"Vinaigres,Vinaigres balsamiques"
12260,Confit d’oignons,,Les Saveurs du Clavon,
12261,10 mini trofi'cônes Chocolat Vanille,,Trofic,"Desserts,Surgelés,Desserts glacés,Glaces et sorbets,Glaces,Cônes"
12262,Pommes noisette,,Carrefour,"Chips et frites,Pommes noisettes"
12263,"Purée Poire Pomme, Dès 4-6 Mois, Les 2 Pots De",,Pommette,
12264,Asperges verte,,Geant Vert,
12265,FLOCONS DE PETIT EPEAUTRE,,Primeal,
12266,Croc-monsieur,,Burger King,
12267,Gnocchetti Sardi 27 A ,Pâtes alimentaires au blé dur,La Molisana,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Pâtes alimentaires,Pâtes sèches,Gnocchetti Sardi"
12268,Asperges vertes fines,,Carrefour,
12269,Coca-cola,Boisson rafraîchissante aux extraits végétaux,coca-cola,"Boissons,Boissons gazeuses,Sodas,Boissons sucrées,Sodas au cola"
12270,Mon Gâteau Nature,,Ker Cadélac,"Snacks sucrés,Desserts,Biscuits et gâteaux,Gâteaux"
12271,Schokoriegel Mars 10x45g Packung,,Mars,
12272,Cereales fourees chocolat noisette,,Auchan,
12273,Smoothie Daunature Fraises Bananes,,Daunature,
12274,Saucisse de Lyon en tranches,,Dulano,"Viandes,Charcuteries,Saucisses de Lyon,Saucisses françaises"
12275,Cuillers dégustation,,U,Biscuits
12276,Tortellini aux champignons Dia,Pâtes alimentaires aux oeufs fourrées aux champignons,Dia,"Pâtes alimentaires,Plats préparés,Pâtes farcies,Tortellini,Tortellini aux champignons,Pâtes"
12277,Tarte du Champsaur Framboise,,L'Épi d'Or,"Tartes,Tartes à la framboise"
12278,Color duo raisin moelleux,,Sun,
12279,"Le Bon Poulet, Rôti au Thym (4 Tranches)",Filet de poulet de qualité supérieure traité en salaison et cuit,"Herta,Nestlé,Le Bon Poulet","Frais,Viandes,Charcuteries,Volailles,Poulets,Produits sans gluten,Charcuteries cuites,Filets de poulet"
12280,Jambon blanc,Jambon cuit de Paris qualité choix,Grand Jury,"Viandes,Charcuteries,Jambons,Jambons blancs,Jambons de Paris"
12281,Sorbet Poire sauce Chocolat Picard,Sorbet Poire sauce Chocolat,Picard,"Sorbet,Glaces"
12282,Espresso Noir,Chocolat noir de dégustation au café,Nestle,"Snacks sucrés,Chocolats,Chocolats noirs"
12283,Tofu rosso,,Taifun,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Légumineuses et dérivés,Substituts de viande,Tofu"
12284,Bâtonnets Saveur Crabe (24 bâtonnets) 405 g,Préparation à base de chair de poisson saveur crabe,"Carrefour Discount,Carrefour","Frais,Produits de la mer,Poissons,Surimi,Préparations à base de poissons"
12285,Bio Galettes de Riz nappées de Chocolat Noir,Galettes de riz nappées de chocolat,Grand Jury,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Galettes de céréales,Galettes de riz,Galettes de riz au chocolat noir"
12286,Sauce napolitaine,,Prix Choc,"Sauces,Sauces tomate,Sauces pour pâtes,Sauces Napolitaine"
12287,Boeuf bourguignons et ses pommes de terre ,,Casino,"Plats préparés à réchauffer au micro-ondes,Plats à base de viande bovine,Boeufs bourguignons"
12288,Sauce indienne aux 7 épices,,Danival,"Epicerie,Sauces"
12289,Biscuits patissiers Mousse d'Or,biscuits boudoir,Mousse d or,Biscuits
12290,Tomato Ketchup,,Cora,"Epicerie,Sauces,Sauces tomate,Ketchup"
12291,Trésor chocolat noisette,,"Kellogg's,Trésor","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales fourrées,Céréales au chocolat"
12292,La 3 Fromages,"Pâte à pizza cuite 42%, garnie de mozzarella, d'emmental et de cheddar fondu","Carrefour,CMI (Carrefour Marchandises Internationales),Groupe Carrefour","Frais,Plats préparés,Pizzas tartes salées et quiches,Plats préparés frais,Pizzas ovales,Pizzas,Pizzas 3 fromages,Pizzas fraîches"
12293,Rillettes de saumon,,Nixe,"Produits à tartiner,Produits à tartiner salés,Produits de la mer,Poissons,Saumons,Rillettes de poissons,Rillettes de saumon"
12294,Sirop De Citron Glasco,,Monin,
12295,Biscuit Foure PP 300 G,,Biscuits Poult,
12296,Poivronnade Parmesan,Préparation apéritive à tartiner à base de poivrons.,Fleurons de Lomagne,"Apéritif,Condiments,Condiments à tartiner,Poivronnades,Poivrons"
12297,Tzatziki,fromage frais et concombres,Blini,"Groceries,Sauces,Tzatzikis"
12298,Petit reblochon de Savoie au lait cru,,Paturages,"Reblochons,Fromages au lait cru"
12299,Kit pour fajitas,,,Kit pour fajitas
12300,Chips de pomme de terre salées,Chips de pomme de terre salées,Auchan,"Snacks salés,Apéritif,Chips et frites,Chips,Chips de pommes de terre,Chips de pommes de terre à l'huile de tournesol"
12301,Pâte de Dattes,,Rapunzel,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:fruits-and-vegetables-based-foods, en:fruits-based-foods, en:dried-products, en:dried-plant-based-foods, en:dried-fruits, en:dates, fr:Pâtes de dattes"
12302,Génoises chocolat noir orange,Génoises nappées à l'orange et au chocolat noir,Auchan,"Snacks sucrés,Desserts,Biscuits et gâteaux,Gâteaux,Gâteaux au chocolat,Génoises"
12303,"Dosettes de café pur arabica, Caffé Lungo",,Dolce gusto,
12304,Figues séchées,,Sunny Farm,Figues séchées
12305,Zapetti couscous à la Marocaine,Couscous,Zapetti,Plat préparé
12306,Mon instant Bio Orange,Boisson aux fruits à base de jus de fruits concentrés Bio orange,Pressade,"Boissons,Boissons à base de végétaux,Boissons aux fruits,Boissons sucrées"
12307,Taillefine cerise,,Danone,
12308,Sauce au Basilic,,Leader Price,"Epicerie,Sauces,Sauces tomate"
12309,Calissons d'Aix-en-Provence,,Nos régions ont du talent,Calissons d'Aix
12310,20 canapés prestige Tipiak,,,
12311,Yaourt nature au lait entier,,Danone,"Produits laitiers,Yaourts,Yaourts natures"
12312,brandade de morue,brandade de morue,Tous Les Palais du Monde,"Frais,Plats préparés,Plats préparés frais,Brandades de morue,Plats à base de poisson"
12313,Lumières provençales vin rose cépage grenache 12%,,Lumières provençales,"fr:boissons,fr:boissons-alcoolisees,fr:vins,fr:vins-francais,fr:vins-roses"
12314,Piment Langue d'Oiseau,,"Cook,Arcadie",Piments
12315,Rissoles de Savoie Poire & Raisin,,R'Zules,"Rissoles,Desserts"
12316,Mezzaluna Grana Padano & Roquette,Pâtes fraîches farcies artisanales aux œufs et à la semoule de blé dur.,"La Pasta di Angelo,Treo","Pâtes fraîches,Pâtes farcies,Plats préparés frais"
12317,Panzerotti tomate et mozarella,,Dia,
12318,Mangues en tranches au sirop léger,,"Sans marque,EMC Distribution",Mangues au sirop
12319,Vegan Protein Bar,,MyProtein,
12320,"Mortadelle de volaille aux olives, Halal",Mortadelle de volaille aux olives,Médina Halal,"Viandes,Charcuteries,Frais,Mortadelles,Mortadelles de volaille"
12321,Bière Ordinaire,,Brasserie de Bourbon,en:beverages
12322,Truvia bûchettes,,Daddy,en:sweeteners
12323,Prince Choco,,Lu,
12324,Fini Vers De Terre Acides S / Glut,,Fini,
12325,7 Paquets De Roulade Au Chocolat,,Serebis,
12326,BAI ANTIOXYDANT INFUSION Panama Peach,,BAI,en:beverages
12327,Pain d'épices au miel BIO,Pain d'épices au miel bio,Bjorg,"Snacks sucrés,Biscuits et gâteaux,Pains d'épices"
12328,Vinaigrette legere,Vinaigrette nature allégée en matières grasses,Kania,"en:groceries, en:sauces, en:salad-dressings, en:vinaigrettes, fr:vinaigrettes-allegees-en-matieres-grasses"
12329,Fromage fondu 8 portions (20 % MG),"Fromages industriels de France, à pâte fondue, au lait de vache, à tartiner",sans marque,"Produits à tartiner,Produits laitiers,Fromages,Frais,Fromages de vache,Fromages de France,Produits à tartiner salés,Fromages industriels,Fromages à tartiner,Fromages à pâte fondue,Aide alimentaire"
12330,Huile Isio 4 Touche De Basilic,,Lessieur,
12331,Mélange d'olives vertes et noires dénoyautées,,Carrefour,
12332,Gyoza Mandu aux piment rouge et légumes,,Maison De Corée,
12333,Pain De Mie,,Max poilane,Pains de mie
12334,Jet,,Jet,
12335,Pommes Pressées,,Andros,"Jus de pommes pur jus,Jus de fruits frais"
12336,Fromage de Chèvre ,Fromage de chèvre au lait pasteurisé,Soignon,"Produits laitiers,Fromages,Fromages de chèvre,Fromages au lait pasteurisé"
12337,Sirop de citron vert,,Moulin de Valdonne,Sirops de citron
12338,Arachide Decort. Blanche Crue PQT 1 KG B / S Cuisine,,Bedros Et Savino,
12339,Miettes de thon à la tomate,,"Pêche Océan,Marque Repère","Conserves,Produits de la mer,Poissons,Poissons en conserve,Thons,Thons en conserve,Miettes de thon"
12340,Céréales Grain D'or Miel Nestlé,,Nestele,
12341,"Cèpes, champignons sauvages, cueillis à la main","Champignons, cépès","U,Saveurs,Sabarot-Wassner","Conserve,Champignon,Cépe"
12342,Moutarde à l'Américaine,Spécialité à la moutarde de Dijon,Amora,"Epicerie,Sauces,Moutardes"
12343,Chips Kettle Cooked Sea Salt,Chips de pommes de terre avec pelure au sel de mer,Chio,Chips de pommes de terre à l'huile de tournesol
12344,Triple goût caramel,"Chocolat au lait du pays alpin aux éclats de caramel craquant aux amandes (3%) et fourré crème confiseur (12%) au lait goût caramel et fourré crème confiseur liquide (8,5%) au caramel",Milka,"Snacks sucrés,Chocolats,Chocolats au lait"
12345,Maroilles fermier quart au lait cru (29% MG),,La Ferme du Moulin,"Fromages au lait cru,Maroilles,Fromages à pâte molle à croûte lavée"
12346,chapelure bio,,valpibio,
12347,Biscuits à la cuillère,,Bonne Maman,
12348,Le Suédois - Bacon,Sandwich au pain nordique garni de bacon cuit fumé et de bacon cuit grillé fumé,Sodébo,"Sandwichs polaires,Sandwichs garnis de charcuteries,Sandwichs au bacon"
12349,Water Mix saveur Mandarine Pêche,Concentré saveur Mandarine Pêche,Sodastream,"Concentrés,Sirops de fruits"
12350,Miel harmonie,,Bendorf,"Bières au miel,Bières brunes,Bières artisanales"
12351,Brazil 140g,,Delacre,
12352,Grissini,Gressins salés à l'huile d'olive 11 %,Oliviers & Co,Gressins
12353,Sel de table fin,,Sans marque,"Sel,sel de table"
12354,Jus d'orange sanguine,"Jus d'orange sanguines, flash pasteurisé",Auchan,"Boissons,Boissons à base de végétaux,Boissons aux fruits,Jus et nectars,Jus et nectars de fruits,Jus de fruits,Jus d'orange,Jus de fruits 100% pur jus,Jus d'orange 100% pur jus,Jus d'orange sanguine"
12355,La Canne Lyonnaise affinée à l'air libre,Saucisson sec canne droite au marc de Bourgogne,Solexia,Saucissons secs
12356,Hot dog relish,Condiment pour hot-dogs à base de concombres et de moutarde,Vlasic,"Epicerie,Condiments,Relish"
12357,"Spaghetti, Petit Épeautre",Spécialité céréalière à la farine semi-complète de petit Épeautre issue de l'agriculture biologique,Lazzaretti,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:cereals-and-potatoes, en:cereals-and-their-products, en:pastas, en:artisan-products, en:dry-pasta, en:spaghetti, fr:pates-a-base-de-petit-epeautre, fr:spaghettis-au-petit-epeautre"
12358,"Yaourts sur lit de fruits Fruits : fraise, myrtille, framboise, fruits rouges.",,Auchan,
12359,Petits Pots Chocolat,,Casino,
12360,Matsa Aux Chocolat- 00 G - KLP,,Matzot Rishon,
12361,Seitan pané,,La Vie Claire,
12362,Petits Coudes,,Grand Mere,
12363,Petit Beurre Complet,24 Petits beurre au blé complet,Netto,"Snacks sucrés,Biscuits et gâteaux,Biscuits,Petits beurres"
12364,Délice de Cèpes à Tartiner,Délice de Cèpes à tartiner,Lucien Georgelin,"Produits à tartiner,Produits à tartiner salés,Snacks salés,Apéritif"
12365,Filet de bacon fumé,,Auchan,"Viandes,Viandes de porc,Bacon,Bacon en tranche"
12366,Boisson au Jus de Cranberry,Boisson au Jus de Cranberry à base de concentré,Casino,"Boissons aux fruits,Boissons au cranberry"
12367,Tagliatelles,,Lustucru,
12368,Petit déjeuner instantané,,Tonimalt,"Produits vendus avant l'an 2000,Produits vendus dans les années 1970,Archéologie - Dordogne - Années 1970,Petits déjeuners instantanés,Petit-déjeuners"
12369,Sweet Love,,Kusmi Tea,Thés noirs aromatisés
12370,Lait demi-écrémé,,Auchan,"Produits laitiers,Laits,Laits demi-écrémés"
12371,Pesto à la genovese,Sauce pesto au basilic,Polli,"Epicerie,Sauces,Sauces pour pâtes,Sauces Pesto"
12372,Lindor Blanc Fraise édition limitée,"Bouchées de chocolat blanc à la fraise, fourré d'un suprême fondant",Lindt,"Snacks sucrés,Chocolats,Chocolats blancs"
12373,Barres de son d'avoine saveur chocolat noisette,Barres de son d'avoine saveur chocolat noisette avec édulcorant,Dukan,"Snacks sucrés,Barres,Barres de céréales"
12374,Le Cassoulet Mitonné,,William Saurin,"en:canned-foods, en:meals, en:canned-meals, fr:cassoulets"
12375,450G MIEL TOUTES FLEURS,,Jean Herve,
12376,Mbon supérieur sans couenne,,Tradilege,
12377,Saucisson sec pur porc,,Carrefour,"Viandes,Charcuteries,Saucissons,Saucissons secs,Saucissons secs pur porc"
12378,Miettes de Thon (À la tomate),Miettes de thon à la tomate,Petit Navire,"Conserves,Produits de la mer,Poissons,Poissons en conserve,Thons,Miettes de thon,Miettes de thon à la tomate"
12379,Flan Noisette 40G Pour Demi L Lait,,France Delices,
12380,DELICITRON,Thé citron,J.J.DARBOVEN,"Infusions,Boissons,Thés,Boissons chaudes"
12381,Penne rigate,,Franprix,"Penne,Pâtes"
12382,Madeleines mignonettes aux perles de sucre,,Vital ainé,Madeleines longues
12383,Petits pois,,Freshona,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:fruits-and-vegetables-based-foods, en:canned-foods, en:legumes-and-their-products, en:vegetables-based-foods, en:canned-plant-based-foods, en:legumes, en:seeds, en:canned-vegetables, en:legume-seeds, en:pulses, en:canned-legumes, en:canned-peas, en:peas"
12384,Salade de Lentilles aux carottes et aux oignons,,Bonduelle,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Légumineuses et dérivés, Légumineuses, Graines, Graines de légumineuses, Plats préparés, Légumes secs, Lentilles, Salades composées, Lentilles préparées"
12385,Feves Pelees Surgelees,,U,
12386,Mozzarella,Full fat soft cheese,Lovilio,"Produits laitiers,Fromages,Fromages italiens,Mozzarella"
12387,Biscuits petit épeautre sésame,,Biocoop,"Snacks sucrés,Biscuits et gâteaux,Biscuits"
12388,Lentilles blondes,,U,
12389,Crêpes jambon-fromage surgelées,,Winny,"Surgelés,Plats préparés,Plats cuisinés surgelés"
12390,Nouilles de riz,,Ayam,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Nouilles,Nouilles de riz"
12391,3 Pizzas Margherita surgelées,"Pizza avec Edam, tomates, courgettes et poivrons",Winny,"Surgelés,Pizzas surgelées,Pizzas et tartes surgelées"
12392,Petit beurre,,Védère,Petits beurres
12393,Tartinable de la Mer Surimi,,Aldi,
12394,Foie de Morue - Netto,Foie de morue fumé au feu de bois,Netto,"Foie de morue,produits de la mer,Poisson en conserve,morue"
12395,Tartare,,d&L,"Epicerie,Sauces,Sauces tartare"
12396,Saumon fumé a l'aneth,,Netto,Saumons fumés
12397,Gressins Olive Romarin,Gressins aux olives et au romarin,Bonneterre,"Gressins,Biscuits apéritifs,Snacks salés,Gress"
12398,"Légumes à l'Orientale, pois chiches et boulgour","Légumes à l'Orientale, pois chiches et boulgour",Zapetti,"Plats préparés,Plats préparés à réchauffer au micro-ondes"
12399,Oméga 3 demi-sel,,St Hubert,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:spreads, en:salted-spreads, en:plant-based-spreads, en:spreadable-fats, en:vegetable-fats, en:light-margarines, en:margarines, en:fats"
12400,Aïoli,,,Aïoli
12401,Feta grecque originale,"Feta grecuque AOP au lait de brebis et de chèvre, pasteurisé en saumure, minimum 43% de matière grasse","Sans marque,LA FARM S.A.",Feta
12402,Terrinne aux 3 poissons,,Amand,
12403,BTE 1 / 5 THON BLANC HUILE D'OLIVE REFLETS DE France,,Reflets de France,
12404,Miel de tilleul Bio,,Maison Vergnon,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Produits de la ruche,Produits d'élevages,Édulcorants,Miels,Miels de tilleul"
12405,Yaourt Ananas Passion au lait entier,yaourt sucré aux fruits,Pâturages,"Produits laitiers,Yaourts,Yaourts sucrés,yaourts aux fruits"
12406,Gressins aux trois graines,,Moulin Des Moines,
12407,"Frites au Four, Préfrites et Surgelées",Frites au four,Mr Frites,"Frites surgelées,Frites au four"
12408,Pâte d'artichaut,,Deluxe,
12409,Casgiu di pecura,,Casanu,
12410,crevettes entières,crevettes entières,Delpierre,"Produits de la mer,Crustacés,Crevettes,Crevettes roses"
12411,Salami pur porc,,€co Gourmand,Salamis
12412,Vanille Macadamia,,Thiriet,
12413,Wholemeal cookies with thyme honey and oat flakes,Biscuirs complet avec miel de thym et flocons d'avoine,"Eridanous,Lidl","Snacks sucrés,Biscuits et gâteaux,Biscuits"
12414,baratine nature,fromages,Fromagerie Jeandin,"Produits laitiers,Fromages,Fromages pasteurisés"
12415,Eau de Source de Montagne des Alpes,Source Roche des Écrins,U,"Boissons,Eaux de montagne,Eaux de sources"
12416,MINI NEMS AU CREVETTES X8,,Les P'tits Chefs Du Bio,
12417,Arsène Saupiquet Sardines,Sardines à l'huile d'olive vierge extra,Saupiquet,"Conserves, Produits de la mer, Poissons, Poissons en conserve, Sardines, Sardines en conserve, Sardines à l'huile, Sardines à l'huile d'olive"
12418,Orange,Boisson aux fruits 10% allégée en sucres avec édulcorants,"Sun,Refresco","Boissons aux fruits,Boissons édulcorées"
12419,Glace au yaourt Sorbet Mangue,,Auchan,
12420,BIO Chia Samen 400G Vegan / Rohkostqualität / Aus Peru,,Purasana,
12421,Sirop de Grenadine,,Leader Price,en:beverages
12422,Yaourt a la grecque myrtille et granola,,Monoprix,
12423,Miel du Monastère Cabrespine en Aveyron,Miel,"Reflets de France,Carrefour","Produits à tartiner,Petit-déjeuners,Produits à tartiner sucrés,Produits de la ruche,Produits d'élevages,Édulcorants,Miels"
12424,Vinaigre balsamique de Modène,Vinaigre balsamique,"Bio Village,Marque Repère",Vinaigre balsamique
12425,"Vermicelles, Pâte alimentaire blanche",Pâtes alimentaires à la semoule blanche de blé dur issu de l'agriculture biologique,"Priméal,Groupe Ekibio","en:plant-based-foods-and-beverages, en:plant-based-foods, en:cereals-and-potatoes, en:cereals-and-their-products, en:pastas, en:dry-pasta, fr:Pâtes sèches blanches, fr:Vermicelles au blé dur"
12426,Semoule de maïs pour polenta,,"Jardin bio,Léa Nature","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Céréales et pommes de terre,Céréales et dérivés,Semoules de céréales,Semoules de maïs,Semoules de maïs pour polenta"
12427,Sea Salt (50% extra free),"Chips cuites à la main, sel marin",Kettle Chips,Chips de pommes de terre à l'huile de tournesol
12428,Ricotta,Ricotta,monoprix,"Produits laitiers,Fromages,Fromages à pâte fraîche,Ricotta"
12429,Crêpes champignon - Picard,Crepes surgelées a réchauffer,Picard,"Surgelés,Crêpes et galettes"
12430,Cancoillotte ail des ours,,Lehmann,
12431,Mini Gâteaux fourrés au chocolat et pépites de chocolat,,Rik & Rok,"Snacks sucrés,Desserts,Biscuits et gâteaux,Gâteaux,Gâteaux au chocolat"
12432,Monster energy absoluty zero,,Monster,"Boissons énergisantes,Boissons édulcorées"
12433,Tendre Croque Chef Poêlée Forestière Bacon Emmental,"Croque-monsieur à base de pain de mie spécial de campagne 45%, bacon 15%, emmental fondu et champignons","Herta,Tendre Croque","Sandwichs,Croque-monsieur"
12434,Demi Lune Chèvre,,Lustucru,
12435,Barre crunchy Oats & Honey,,Nature valley,Cereal bars
12436,Batonnets de poisson panes Croustibat Le 2eme a 50%,,Findus,
12437,Pain d'Épice au Miel et Figues,,Boulanger Joseph,"Snacks sucrés,Biscuits et gâteaux,Prianiki,Pains d'épices"
12438,Saucisson cuit à l'ail blanc,,Netto,"Viandes,Charcuteries,Saucissons,Saucissons à l'ail,Saucissons cuits"
12439,Gourdes pomme poire sans sucre ajouté U MAT & LOU,,Carrefour,
12440,Virtuel bar,,Myprotein,
12441,Graines de Chia Noir,,Delhaize,
12442,Muesli Superfruits Raisin Cassis Cranberry Myrtille,Mélange biologique de céréales et de fruits,Bjorg,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Flocons,Flocons de céréales,Mélanges de flocons de céréales,Mueslis,Mueslis aux fruits"
12443,Aïoli,,Les Entrées de la Mer,Aïolis
12444,Bouton Or Chips Moutarde,,Bouton D'or,
12445,Torsettes Au Blé Complet U étui Carton,,U,
12446,Mon P'tit Jus de Pomme,Jus de pommes,Tropicana,Jus de pomme
12447,Petit cake pépites chocolat sans gluten,Petit cake pépites chocolat sans gluten,Gerblé,Gâteaux au chocolat
12448,Les saucisses cocktails au cumin,,Jean caby,"Viandes,Charcuteries,Saucisses,Saucisses cocktail"
12449,Chocolat de Couverture,,Pupier,"Snacks sucrés,Chocolats,Chocolats noirs"
12450,Pains au Chocolat,,Casino,"Snacks sucrés,Viennoiseries,Pains au chocolat"
12451,Salad' sur le pouce Pâtes Penne et Poulet au Thym + Mini tartelette aux Framboises,"Salade de pâtes aux poivrons, tomates, poulet et olives",Fleury Michon,"Salades composées,plats préparés frais,plats à base de poulet"
12452,Mozzarella,,Netto,
12453,Fondant au Chocolat,,Casino,"en:sugary-snacks, en:biscuits-and-cakes, en:desserts, en:cakes, en:chocolate-cakes"
12454,Lentilles corail,,Biothentic,
12455,Cocottes Marbré,,St Michel,"Snacks sucrés,Desserts,Biscuits et gâteaux,Gâteaux,Gâteaux au chocolat,Gâteaux marbrés"
12456,Coupelles du soleil,,Auchan,
12457,Hot Choco Drink Light Orange Flavour,,Domo,Boissons chaudes instantanées
12458,Orangina,Boisson gazeuse rafraîchissante aux fruits,Orangina,"Aliments et boissons à base de végétaux,Boissons,Boissons à base de végétaux,Boissons gazeuses,Boissons aux fruits,Sodas,Sodas aux fruits,Sodas à l'orange,Boissons sucrées"
12459,Beignets de crevettes sauce aigre douce (6 beignets + 1 sachet de sauce),Beignets de crevette frits avec sauce aigre douce,"Auchan,L'oiseau,Auchan Production,Groupe Auchan","Frais,Plats préparés,Plats préparés frais,Beignets de crevettes,Cuisine asiatique"
12460,Pâté de foie pur porc,,Esquines,
12461,Bière aux fruits rouges,Bière aux fruits rouges,Ar-Men,"fr:bieres,fr:bieres-aromatisees,fr:boissons,fr:boissons-alcoolisees"
12462,8 mini Hot dog,"Mini pain spécial garni de mini saucisse de volaille, de sauce ketchup et de moutarde, surgelé",Auchan,Entrées et snacks surgelés
12463,Tripel Karmeliet,,Brasserie Bosteels,"Boissons,Boissons alcoolisées,Bières,Bières belges"
12464,Mat & Lou fromages frais aux fruits,,U Mat Et Lou,
12465,"Cabillaud pané, qualité 100% filet",,Findus,
12466,Mini saucissons secs,,Cora,"Viandes,Charcuteries,Saucissons,Saucissons secs"
12467,"Chouchou U,",,U,
12468,Magret de canard du Sud-Ouest séché au poivre,Magret de canard du Sud-Ouest séché au poivre,U Saveurs,"Canards,Volailles,Viandes"
12469,Azucar De Coco 500 GR Plantapol,,Plantapol,
12470,Dessert Végétal Nature,Dessert au lait de noix de coco,The Coconut Collaborative,"Desserts au lait de coco,Desserts végétaliens"
12471,Madeleines au chocolat,,Glutee free,
12472,Happy detox,,Karéléa,en:beverages
12473,Chipster petale sale,,Belin,
12474,Crunchy,Mélange de flocons de céréales et de céréales enrobées,Naturalia,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Mueslis,Mueslis croustillants"
12475,Délice de Poivrons à Tartiner,Délice de Poivrons,Lucien Georgelin,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:spreads, en:salted-spreads, en:salty-snacks, en:appetizers, en:meals, en:plant-based-meals"
12476,Chips Coupe Épaisse Nature,Chips épaisses de pomme de terre au sel de mer,"Pom'Lisse,Marque Repère","Snacks salés,Apéritif,Chips et frites,Chips,Chips de pommes de terre,Chips de pommes de terre à l'huile de tournesol"
