,product_name,generic_name,brands,categories
703,Foie Gras de Canard Entier du Sud-Ouest,,Carrefour,"Poissons et viandes et oeufs,Foies gras,Foie gras entier,Foies gras de canard,Conserves"
704,Terrine de Bison,Terrine de bison,Tipi,"Viandes,Produits à tartiner,Charcuteries,Produits à tartiner salés,Terrines,Terrines de bison,Viandes de bison,Conserves"
705,Pâtes aux Œufs Albesi,Pâtes aux œufs,Les Saveurs du Clavon,"Pâtes sèches,Pâtes de blé dur à l'oeuf"
706,Saveur Sandwich Parisien,Chips de pommes de terre saveur Sandwich Parisien,Lay's,Chips de pommes de terre
707,Cordon bleu,,Bell,
708,Tomates Séchées,Antipasti tomates séchées,Florelli,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:fruits-and-vegetables-based-foods, en:vegetables-based-foods, en:dried-products, en:dried-plant-based-foods, en:tomatoes-and-tomato-products, en:dried-vegetables, en:dried-tomatoes, fr:Antipasti"
709,Préparation pour pâte à crêpes,,Dia,Préparation pour crêpes
710,Tarte provençale,"Tarte garnie de légumes, surgelée",Auchan,"Surgelés,Tartes salées,Plats cuisinés surgelés,Tartes,Plats préparés"
711,Bon Bombz,Bonbons acidulés,Fizzy,"Bonbons,Bonbons acidulés"
712,Haricots verts coupés extra fins,Haricots verts,D'aucy,Haricots verts en conserve
713,Masque à croustiller goût Salé,Produit soufflé à base de pomme de terre goût salé,Sibell,"Snacks salés,Apéritif,Biscuits apéritifs,Biscuits apéritifs soufflés"
714,Boisson Au Soja Banane Bio - - Provamel,,Provamel,
715,Mayonnaise aux Œufs,,"D&L,Devos & Lemmens",Mayonnaises
716,Chocolat noir et pointe de fleur de sel,,Lindt,"Snacks sucrés,Confiseries,Chocolats,Chocolats noirs"
717,Beurre de Baratte Doux Bio,Beurre de baratte doux issu de l'agriculture biologique,Grandeur Nature,"Produits à tartiner,Produits laitiers,Matières grasses,Spreadable fats,Matières grasses animales,Milkfat,Beurres,Beurres doux"
718,Purée de tomates,Purée de tomates (7% mini),Saint Eloi,"en:plant-based-foods-and-beverages, en:plant-based-foods, en:fruits-and-vegetables-based-foods, en:groceries, en:vegetables-based-foods, en:sauces, en:tomatoes-and-tomato-products, en:tomato-sauces, en:tomato-purees"
719,Sauce Vinaigrette Huile d'Olive Vierge Extra (10%) & Tomates Séchées,Sauce Vinaigrette Huile d'Olive Vierge Extra (10%) & Tomates Séchées,Casino,"Epicerie,Sauces,Sauces salades,Vinaigrettes"
720,Sauce Bourguignonne,Sauce au vin rouge de Bourgogne,Bénédicta,"Epicerie,Sauces,Sauces Bourguignonnes"
721,"Savane chocolat noir, sans huile de palme",,Brossard,
